고유번호,지역,상호,상표,주소,전화번호
A0007883,경기 김포시,금파충전소,GS칼텍스,경기 김포시 금파로 20,031-985-7989,
A0007961,경기 김포시,SK행복충전 주식회사지가스,SK가스,경기 김포시 양촌읍 봉수대로 1821,031-996-2750,
A0007992,경기 김포시,김포가스(합),S-OIL,경기 김포시 김포대로 1454 (운양동),031-982-4108,
A0008005,경기 김포시,SK행복충전 통진충전소,SK가스,경기 김포시 통진읍 김포대로 2055,031-998-5994,
A0008081,경기 김포시,초지대교충전소,SK에너지,경기 김포시 대곶면 대명항로 532,031-988-2252,
A0008086,경기 김포시,SK KH에너지 김포충전소,SK가스,경기 김포시 대곶면 대곶북로 141 (대곶면),031-988-4971,
A0011951,경기 김포시,김포IC충전소,SK가스,경기 김포시 고촌읍 김포대로451번길 10,031-987-4848,
A0011952,경기 김포시,SK고촌LPG충전소,SK에너지,경기도 김포시 고촌읍 태장로 70,031-996-6067,
A0033024,경기 김포시,워시랜드김포대로70충전소㈜,SK가스,경기도 김포시 고촌읍 김포대로 70,031-985-4455,
A0033337,경기 김포시,극동에너비스 신도시충전소,자가상표,경기 김포시 김포한강3로 390(마산동),031-982-1008,
A0033448,경기 김포시,김포뉴타운 충전소,SK에너지,경기 김포시 양촌읍 김포대로 1579,031-996-5487,
A0033538,경기 김포시,풍무LPG충전소,SK에너지,경기 김포시 고촌읍 김포대로 601,031-983-3915,
A0033638,경기 김포시,실로암엘피지충전소㈜,HD현대오일뱅크,경기도 김포시 고촌읍 개화동로 245,031-985-5701,
A0000712,강원 춘천시,SK행복충전 동보충전소,SK가스,강원 춘천시 춘천로 331,033-254-6787,
A0006830,강원 춘천시,SK행복충전 안보충전소,SK가스,강원 춘천시 서면 경춘로 751,033-263-6688,
A0010283,강원 춘천시,남춘천충전소,GS칼텍스,강원 춘천시 신동면 김유정로 1702,033-262-8192,
A0010298,강원 춘천시,강촌가스충전소,HD현대오일뱅크,강원 춘천시 서면 경춘로 1014,033-262-2870,
A0010354,강원 춘천시,SK행복충전 춘천터미널충전소,SK가스,강원 춘천시 경춘로 2167 (온의동),033-263-6311,
A0010357,강원 춘천시,SK행복충전 엔탑에너지,SK가스,강원 춘천시 동면 한솔만천로 3,033-241-8209,
A0010364,강원 춘천시,IOZEN(이오젠),SK에너지,강원 춘천시 동내면 순환대로 758,033-262-2913,
A0010366,강원 춘천시,장학충전소,S-OIL,강원 춘천시 동면 춘천순환로 913,070-4009-3788,
A0010420,강원 춘천시,키웨스트,SK에너지,강원 춘천시 영서로 2986,033-253-8448,
A0010426,강원 춘천시,춘천오렌지충전소,E1,강원 춘천시 동면 후만로 158,033-242-5808,
A0010446,강원 춘천시,춘성고려LPG충천소,E1,강원 춘천시 사북면 영서로 4905,033-243-5035,
A0010465,강원 춘천시,춘천개인택시가스충전소,E1,강원 춘천시 옛경춘로 743 (삼천동),033-262-6334,
A0010467,강원 춘천시,경춘가스충전소,S-OIL,강원 춘천시 동면 춘천로 523,033-255-7070,
A0010473,강원 춘천시,(주)중부에너지 GS신동주유소/충전소,GS칼텍스,강원 춘천시 신동면 경춘로 1757,033-261-3351,
A0010480,강원 춘천시,NS에너지(주)춘천충전소,GS칼텍스,강원 춘천시 공지로 681,033-257-1526,
A0010508,강원 춘천시,(주)원일유통 춘천,SK에너지,강원 춘천시 동내면 영서로 1432 춘천휴게소(내)SK주유소,033-264-0391,
A0010509,강원 춘천시,중앙LPG충전소,SK에너지,강원 춘천시 동내면 영서로 1864,033-263-9441,
A0010529,강원 춘천시,유정주유소충전소,GS칼텍스,강원 춘천시 신동면 한치로 966-176,033-261-0066,
A0032681,강원 춘천시,춘천LPG충전소,E1,강원 춘천시 경춘로 2307,033-252-5808,
A0010218,강원 원주시,치악(부산방향)주유소/충전소,E1,강원 원주시 신림면 치악로 416,033-763-8603,
A0010219,강원 원주시,치악(춘천방향)주유소,E1,강원 원주시 신림면 다리실2길 32,033-762-0349,
A0010908,강원 원주시,SK행복충전 원흥엘피지충전소,SK가스,강원 원주시 문막읍 원문로 1415,033-745-2887,
A0010917,강원 원주시,삼웅에너지 북원주충전소,E1,강원 원주시 소초면 북원로 3095,033-735-4977,
A0010984,강원 원주시,SK행복충전 대흥LPG충전소,SK가스,강원 원주시 원문로 328 (단계동),033-747-2255,
A0011039,강원 원주시,SK행복충전 북원충전소,SK가스,강원 원주시 서원대로 497 (단구동),033-764-7617,
A0011068,강원 원주시,떠오름충전소,HD현대오일뱅크,강원 원주시 소초면 치악로 2918,033-731-0233,
A0011076,강원 원주시,신우에너지(자),E1,강원 원주시 호저면 원문로 497,033-747-5805,
A0011079,강원 원주시,남원주LPG충전소,E1,강원 원주시 행가리1길 2 (무실동),033-748-5808,
A0011098,강원 원주시,학성LPG충전소,S-OIL,강원 원주시 강변로 629 (학성동),033-731-5152,
A0011118,강원 원주시,(자)정우에너지,E1,강원 원주시 북원로 2826,033-734-2676,
A0011123,강원 원주시,(합)원주엘피지,S-OIL,강원 원주시 호저면 신무로 10,033-734-4488,
A0011126,강원 원주시,원주역충전소,HD현대오일뱅크,강원 원주시 판부면 남원로 259,033-766-8600,
A0011133,강원 원주시,(주)삼웅 서원주주유소/충전소,E1,강원 원주시 문막읍 원문로 1342,033-735-5808,
A0011142,강원 원주시,(주)성림이엔에스 융진충전소,GS칼텍스,강원 원주시 북원로 2302,033-742-1112,
A0011170,강원 원주시,문막(하)주유소/충전소,E1,강원 원주시 문막읍 원문로 1234-1,033-734-0764,
A0011186,강원 원주시,대보건설(주) 원주(부산)주유소/충전소,HD현대오일뱅크,강원 원주시 호저면 마근거리길 120,033-731-0736,
A0011199,강원 원주시,신원주충전소,E1,강원 원주시 판부면 치악로 1155,033-747-2781,
A0011205,강원 원주시,동원주LPG충전소,E1,강원 원주시 동부순환로 101 (반곡동),033-733-2151,
A0011383,강원 원주시,흥업충전소,GS칼텍스,강원 원주시 흥업면 북원로 1700,033-765-5806,
A0032916,강원 원주시,SK행복충전 정지뜰LPG충전소,SK가스,강원 원주시 강변로 783,033-747-7052,
A0033299,강원 원주시,(주)덕일,SK에너지,강원 원주시 지정면 보통로 380,033-731-6644,
A0033450,강원 원주시,원주농협충전소,NH-OIL,강원 원주시 호저로 230,033-737-0721,
A0011340,강원 강릉시,SK행복충전 동방가스충전소,SK가스,강원 강릉시 율곡로 2572,033-645-1060,
A0011395,강원 강릉시,SK행복충전 주문진충전소,SK가스,강원 강릉시 연곡면 연주로 156,033-661-5577,
A0011400,강원 강릉시,송은LPG충전소,GS칼텍스,강원 강릉시 사천면 동해대로 3710,033-644-4425,
A0011433,강원 강릉시,하슬라충전소,GS칼텍스,강원 강릉시 강동면 동해대로 1885,033-655-5600,
A0011470,강원 강릉시,SK행복충전 동해충전소,SK가스,강원 강릉시 율곡로 3054 (교동),033-646-4921,
A0011478,강원 강릉시,SK행복충전 신일충전소,SK가스,강원 강릉시 경강로 1885 (홍제동),033-645-8244,
A0011494,강원 강릉시,대성산업(주) 강릉충전소,GS칼텍스,강원 강릉시 성덕포남로149번길 1 (포남동),033-642-7757,
A0011517,강원 강릉시,(합자)동아가스,S-OIL,강원 강릉시 강변로 548 (입암동),033-652-9911,
A0011521,강원 강릉시,(주)강릉개인택시충전소,GS칼텍스, 강원도 강릉시 강변로 636-5,033-651-9800,
A0011522,강원 강릉시,동방엘티에스,E1,강원 강릉시 연곡면 동해대로 4076,033-644-9361,
A0011554,강원 강릉시,KIS정보통신㈜강릉(강릉방향)주유소,GS칼텍스,강원 강릉시 성산면 영동고속도로 232-1,033-648-9559,
A0011555,강원 강릉시,KIS정보통신㈜강릉(인천방향)주유소,GS칼텍스,강원 강릉시 영동고속도로 231-1,033-647-7112,
A0011575,강원 강릉시,연곡LP가스충전소,GS칼텍스,강원도 강릉시 연곡면 동해대로 4069,033-648-5185,
A0011588,강원 강릉시,오죽헌충전소,E1,강원 강릉시 율곡로 3209 (죽헌동),033-655-9912,
A0011608,강원 강릉시,옥계(속초)주유소/충전소,SK에너지,강원 강릉시 옥계면 동해고속도로 322,033-534-2100,
A0011714,강원 속초시,SK행복충전 영동에너지충전소,SK가스,강원 속초시 동해대로 3859 (대포동),033-635-6114,
A0011738,강원 속초시,(주)원경부흥가스충전소,GS칼텍스,강원 속초시 동해대로 3900 (조양동),033-633-2854,
A0011739,강원 속초시,(주)속초개인택시가스충전소,GS칼텍스,강원 속초시 동해대로 4521 (장사동),033-638-3003,
A0011751,강원 속초시,속초가스충전소(주),SK가스,강원 속초시 미시령로 3239 (교동),033-635-5747,
A0011795,강원 속초시,대명LPG충전소,E1,강원 속초시 미시령로 3197 (노학동),033-636-9680,
A0010545,강원 동해시,동해LPG충전소,E1,강원 동해시 해안로 45 (용정동),033-533-8455,
A0010550,강원 동해시,대영충전소,S-OIL,강원 동해시 발한로 531 (초구동),033-534-6652,
A0010584,강원 동해시,공단가스 충전소,GS칼텍스,강원도 동해시 공단2로 15-9 (구호동),033-522-5328,
A0010660,강원 동해시,대경가스충전소(주),S-OIL,강원 동해시 동해대로 5165 (효가동),033-522-6237,
A0010670,강원 동해시,SK행복충전 삼영엘피지충전소,SK가스,강원 동해시 해안로 17 (용정동),033-533-0465,
A0010679,강원 동해시,(주)대청산업개발 동해(삼척)주유소,GS칼텍스,강원 동해시 동해대로 6427 (망상동),033-534-6648,
A0011519,강원 동해시,SK행복충전 이대일충전소,SK가스,강원 동해시 동해대로 527,033-532-8021,
A0010565,강원 태백시,OK에너지,S-OIL,강원 태백시 동태백로 1141 (통동),033-554-4900,
A0010630,강원 태백시,SK행복충전 한길충전소,SK가스,강원 태백시 태백로 853,033-554-0850,
A0010659,강원 태백시,(주)화전LPG충전소,S-OIL,강원 태백시 태백로 398-11 (화전동),033-553-7830,
A0011811,강원 태백시,SK행복충전 황지가스충전소,SK가스,강원 태백시 상장남1길 9-1 (황지동),033-552-2259,
A0011812,강원 태백시,(자)태백가스상사,GS칼텍스,강원도 태백시 태백로 1430 (문곡동),033-581-8306,
A0003782,강원 삼척시,SK행복충전 삼척충전소,SK가스,강원 삼척시 마달길 4 (마달동),033-574-1351,
A0009962,강원 삼척시,태극가스충전소,E1,강원 삼척시 도계읍 강원남부로 1800,033-541-2463,
A0010671,강원 삼척시,원더풀주유소/충전소,SK에너지,강원 삼척시 동해대로 3852 (오분동),033-575-5189,
A0010678,강원 삼척시,삼척농협주유소/충전소,S-OIL,강원 삼척시 동해대로 4298 (갈천동),033-572-5182,
A0026758,강원 삼척시,삼척LPG충전소,E1,강원 삼척시 오십천로 91 (등봉동),033-573-6600,
A0004358,강원 홍천군,삼마치LPG충전소,E1,강원 홍천군 홍천읍 영서로 1502,033-435-8873,
A0010719,강원 홍천군,장남에너지self,E1,강원 홍천군 두촌면 장남길 81,033-435-1400,
A0010827,강원 홍천군,두원에너지,SK에너지,강원 홍천군 북방면 홍천로 183,033-436-5151,
A0010845,강원 홍천군,무궁화에너지충전소,S-OIL,강원 홍천군 홍천읍 설악로 1277,033-435-4422,
A0010851,강원 홍천군,(주)선인상사 홍천강(춘천방향)주유소/충전소,GS칼텍스,강원 홍천군 북방면 도사곡길 223,033-435-6751,
A0033184,강원 홍천군,키다리식품(주) 홍천양양주유소/충전소,E1,강원 홍천군 화촌면 서울양양고속도로 84-1,033-436-7997,
A0033185,강원 홍천군,키다리식품(주)홍천서울주유소/충전소,E1,강원 홍천군 화촌면 서울양양고속도로 83-1,033-436-7887,
A0033443,강원 홍천군,새홍천충전소,SK에너지,강원 홍천군 홍천읍 설악로 1762,033-000-0000,
A0010880,강원 횡성군,횡성오렌지충전소,E1,강원 횡성군 횡성읍 한우로 180,033-345-5808,
A0011067,강원 횡성군,원주공항 LPG,자가상표,강원 횡성군 횡성읍 횡성로 68,033-343-5955,
A0011166,강원 횡성군,(주)대현유통 횡성(인천방향)주유소,E1,강원 횡성군 안흥면 영동고속도로 153-1,033-342-5883,
A0011188,강원 횡성군,씨앤에스에너지(주) 횡성(하)주유소/충전소,E1,강원 횡성군 안흥면 영동고속도로 154-1,033-342-7357,
A0032968,강원 횡성군,(주)동원에너지,S-OIL,강원 횡성군 횡성읍 경강로 1531,033-342-2997,
A0011244,강원 영월군,하송충전소,E1,강원 영월군 영월읍 청령포로 12-6,033-374-3966,
A0011296,강원 영월군,영월LPG충전소,E1,강원 영월군 북면 영월로 1172,033-374-7800,
A0011320,강원 영월군,태경에프엔지(주)동강주유소/충전소,SK에너지,강원 영월군 남면 강원남로 641,033-372-0801,
A0011002,강원 평창군,평창방림에너지,GS칼텍스,강원 평창군 방림면 서동로 1551,033-334-5858,
A0011359,강원 평창군,SK행복충전 진부가스충전소,SK가스,강원 평창군 진부면 면의동길 24,033-336-1918,
A0011366,강원 평창군,평창(강릉방향)주유소/충전소,E1,강원 평창군 용평면 경강로 2159-58,033-334-5107,
A0011367,강원 평창군,평창(서창)주유소/충전소,E1,강원 평창군 용평면 탑거리길 63,033-334-5108,
A0011537,강원 평창군,SK행복충전 강원엘피지,SK가스,강원도 평창군 진부면 속사재길 292,033-335-4100,
A0011582,강원 평창군,평창올림피아LPG충전소,S-OIL,강원 평창군 대관령면 경강로 5195-5,033-336-2221,
A0011245,강원 정선군,SK행복충전 관문충전소,SK가스,강원 정선군 정선읍 용담길 12,033-563-7277,
A0011283,강원 정선군,민둥산충전소,E1,강원 정선군 남면 강원남로 4997,033-591-4009,
A0011305,강원 정선군,지오텍서동충전소,SK가스,강원 정선군 정선읍 서동로 1344,033-562-3567,
A0011322,강원 정선군,하이원주유소/충전소,HD현대오일뱅크,강원 정선군 신동읍 강원남로 4123,033-378-7601,
A0004497,강원 철원군,동송LPG충전소,E1,강원 철원군 동송읍 북원로 1022,033-455-5852,
A0004549,강원 철원군,신문혜충전소,GS칼텍스,강원 철원군 갈말읍 태봉로 1421,033-452-5179,
A0011864,강원 철원군,철원충전소,E1,강원 철원군 갈말읍 호국로 4426,033-452-0017,
A0010344,강원 화천군,화천고려LPG충전소,E1,강원 화천군 하남면 춘화로 2818,033-441-5035,
A0010459,강원 양구군,양구가스충전소,S-OIL,강원 양구군 국토정중앙면 정중앙로 182,033-482-1144,
A0033004,강원 양구군,SK행복충전 배꼽에너지충전소,SK가스,강원 양구군 국토정중앙면 춘양로 2888,033-481-7288,
A0010744,강원 인제군,그린에너지,S-OIL,강원 인제군 북면 설악로 3251-28,033-462-5189,
A0010807,강원 인제군,설악한계충전소,HD현대오일뱅크,강원 인제군 북면 설악로 3254,033-463-7735,
A0010853,강원 인제군,인제충전소 ㈜에스앤에너지,S-OIL,강원 인제군 인제읍 광치령로 125,033-461-9688,
A0010855,강원 인제군,원통LPG충전소,S-OIL,강원 인제군 인제읍 설악로 2400,033-462-6620,
A0032885,강원 인제군,SK행복충전 38선 LPG충전소,SK가스,강원 인제군 남면 설악로 1137,033-462-3388,
A0033130,강원 인제군,LP가스산업(주)충전소,E1,강원 인제군 북면 미시령로 967,033-463-5151,
A0033192,강원 인제군,내린천(양양방향)주유소/충전소,E1,강원 인제군 상남면 서울양양고속도로 117,033-852-7220,
A0033193,강원 인제군,내린천(서울방향)주유소/충전소,E1,강원 인제군 상남면 서울양양고속도로 117,033-852-7110,
A0011634,강원 고성군,고성가스충전소,S-OIL,강원 고성군 죽왕면 동해대로 6604,033-681-6900,
A0011770,강원 고성군,SK행복충전 대일가스 고성충전소,SK가스,강원 고성군 간성읍 진부령로 2803,033-681-5457,
A0011668,강원 양양군,해당화충전소,E1,강원도 양양군 현남면 동해대로 964,033-671-7033,
A0011713,강원 양양군,미래에너지,E1,강원 양양군 강현면 동해대로 3367,033-673-2161,
A0011784,강원 양양군,SK행복충전 신우에너지 영진가스,SK가스,강원 양양군 손양면 동해대로 2041,033-672-0752,
A0011792,강원 양양군,SK행복충전 양양가스충전소,SK가스,강원 양양군 양양읍 안산1길 26,033-672-4171,
A0004010,충북 청주시,(주)썬엘 청주(서울)주유소,GS칼텍스,충북 청주시 흥덕구 옥산면 경부고속도로 318,043-231-8833,
A0010211,충북 청주시,죽암(부산방향)주유소/충전소,E1,충북 청주시 서원구 현도면 경부고속도로 287,043-269-4434,
A0012073,충북 청주시,석소LPG충전소,SK에너지,충북 청주시 흥덕구 가로수로 799 (석소동),043-237-8867,
A0012083,충북 청주시,SK행복충전 명품엘피지충전소,SK가스,충북 청주시 서원구산미로 41 (미평동),043-250-5151,
A0012097,충북 청주시,청원LPG충전소,E1,충청북도 청주시 서원구 남이면 청남로 1038,043-260-5551,
A0012139,충북 청주시,동부LPG충전소,SK에너지,충북 청주시 상당구 이정골로 9 (용정동),043-283-2111,
A0012273,충북 청주시,동광에너지,GS칼텍스,충북 청주시 흥덕구 직지대로 52 (지동동),043-232-8222,
A0012277,충북 청주시,동원가스충전소,S-OIL,충북 청주시 흥덕구 1순환로 404 (신봉동),043-263-6528,
A0012316,충북 청주시,SK행복충전 (주)청주가로수충전소,SK가스,충북 청주시 흥덕구 가로수로 1093 (비하동),043-236-3521,
A0012357,충북 청주시,주식회사 법원충전소,SK가스,충북 청주시 서원구구룡산로 225,043-286-9906,
A0012368,충북 청주시,SK행복충전 개인택시복지충전소,SK가스,충북 청주시 서원구 사운로 175,043-266-5191,
A0012369,충북 청주시,SK청남가스충전소,SK에너지,충북 청주시 서원구 청남로 1915,043-291-5011,
A0012371,충북 청주시,SK행복충전 충청충전소,SK가스,충북 청주시 흥덕구 가로수로1086번길 20,043-232-0314,
A0012372,충북 청주시,청주LPG충전소,E1,충북 청주시 흥덕구 직지대로 231,043-211-9555,
A0012398,충북 청주시,남이가스충전소,E1,충북 청주시 서원구 남이면 청남로 1625-4,043-295-0020,
A0012413,충북 청주시,삼영가스(주),GS칼텍스,충북 청주시 상당구 단재로 172,043-297-3030,
A0012415,충북 청주시,(합)도원주유소 LPG충전소 수소충전소,HD현대오일뱅크,충북 청주시 청원구 내수읍 충청대로 771,043-214-7788,
A0012418,충북 청주시,SK행복충전 남청주가스충전소,SK가스,충북 청주시 상당구 단재로 348 (평촌동),043-297-3026,
A0012447,충북 청주시,중도석유(주)옥산주유소/충전소,GS칼텍스,충북 청주시 흥덕구 옥산면 경부고속도로 309-1,043-269-0843,
A0012524,충북 청주시,서청주에너지,GS칼텍스,충북 청주시 흥덕구 평동로 7 (향정동),043-273-5682,
A0012734,충북 청주시,내수LPG충전소,GS칼텍스,충북 청주시 청원구 내수읍 묵방국동로 12,043-214-3779,
A0013149,충북 청주시,SK행복충전 (주)동원엘피지충전소,SK가스,충북 청주시 청원구 북이면 충청대로 1557,043-211-5196,
A0015486,충북 청주시,미성LPG충전소,SK에너지,충북 청주시 상당구 남일면 교육원로 24,043-288-6930,
A0016921,충북 청주시,삼선가스(주),GS칼텍스,충북 청주시 서원구 1순환로 632,043-269-3177,
A0016926,충북 청주시,청주개인택시엘피지충전소,SK에너지,충북 청주시 서원구 2순환로 1627 (미평동),043-295-3801,
A0016930,충북 청주시,중도가스(주)청주영업소,GS칼텍스,충청북도 청주시 흥덕구  죽천로 51 (복대동),043-232-8417,
A0016931,충북 청주시,중도가스(주) 사직영업소,GS칼텍스,충북 청주시 흥덕구 1순환로 428,043-274-8065,
A0017168,충북 청주시,옥수LPG충전소,E1,충북 청주시 청원구 북이면 중앙로 26,043-211-9858,
A0017232,충북 청주시,진영주유가스충전소,GS칼텍스,충북 청주시 상당구 미천고은로 152,043-291-0542,
A0017337,충북 청주시,서오창LPG충전소,S-OIL,충북 청주시 청원구 오창읍 두릉유리로 337,043-211-5158,
A0017338,충북 청주시,북청주LPG충전소,E1,충북 청주시 청원구 공항로 149-1 (사천동),043-232-9557,
A0017340,충북 청주시,청주수름재LPG충전소,E1,충북 청주시 청원구 충청대로 266 (주성동),043-241-9700,
A0017349,충북 청주시,(주)문의IC충전소,HD현대오일뱅크,충북 청주시 상당구 문의면 미천고은로 61,043-284-5155,
A0017351,충북 청주시,공간에너지주유소/충전소,HD현대오일뱅크,충북 청주시 흥덕구 옥산면 중부로 301,043-266-5102,
A0017368,충북 청주시,오창IC만남주유소(SELF),SK가스,충북 청주시 청원구 오창읍 오창대로 415,043-218-8866,
A0017386,충북 청주시,신송가스충전소,자가상표,충북 청주시 상당구 남일면 신송효촌길 5,043-292-5454,
A0017406,충북 청주시,죽암(서울방향)주유소,GS칼텍스,충북 청주시 서원구 현도면 경부고속도로 290-1,043-260-5341,
A0017414,충북 청주시,(용연)지북 LPG충전소,E1,충북 청주시 상당구 목련로 60,043-298-9111,
A0017417,충북 청주시,(주)용연 공항로충전소,E1,충북 청주시 청원구 공항로 292,043-211-9111,
A0027459,충북 청주시,초정LPG충전소,S-OIL,충북 청주시 청원구 북이면 충청대로 1041,043-213-5149,
A0033390,충북 청주시,씨제이대한통운 내수출장소,GS칼텍스,충북 청주시 청원구 오창읍 중부로 1363,043-241-8200,
A0033504,충북 청주시,행복에너지충전소,SK가스,충북 청주시 흥덕구 엘지로 5,043-272-0019,
A0008689,충북 충주시,SK행복충전 수안보LPG충전소,SK가스,충북 충주시 수안보면 중원대로 1712,043-856-2760,
A0012759,충북 충주시,중원LP가스충전소,E1,충북 충주시 금가면 충원대로 1461,043-855-8588,
A0012956,충북 충주시,연수LPG충전소,E1,충북 충주시 금봉대로 605,043-856-8338,
A0012961,충북 충주시,충주충전소,SK가스,충북 충주시 중원대로 3123 (단월동),043-844-0112,
A0012971,충북 충주시,용대LPG충전소,E1,충북 충주시 앙성면 북부로 1075,043-855-3380,
A0013004,충북 충주시,에스케이(SK)동원충전소,SK가스,충청북도 충주시 대소원면 중원대로 4363,043-856-9356,
A0013005,충북 충주시,에스케이(SK)공단LPG충전소,SK가스,충북 충주시 국원대로 366 (목행동),043-855-5585,
A0013046,충북 충주시,충주LPG충전소,E1,충북 충주시 팽고리산길 21 (금릉동),043-853-3553,
A0013055,충북 충주시,동충주IC충전소,SK에너지,충북 충주시 충원대로 1482,043-846-7889,
A0013057,충북 충주시,국제LPG충전소,S-OIL,충북 충주시 탄금대로 346 (칠금동),043-847-2500,
A0013102,충북 충주시,에이치에스(HS)에너지,HD현대오일뱅크,충북 충주시 충원대로 713,043-843-8899,
A0013153,충북 충주시,충주그린에너지,S-OIL,충북 충주시 팽고리산길 103 (금릉동),043-846-2915,
A0013189,충북 충주시,㈜청양에너지 일진충전소,HD현대오일뱅크,충북 충주시 중원대로 3054,043-843-3331,
A0013244,충북 충주시,(주)인엔아웃 충주(창원)주유소/충전소,E1,충북 충주시 중앙탑면 중부내륙고속도로 231-1,043-857-7371,
A0013245,충북 충주시,(주)부자충주(상)주유소/충전소,E1,충북 충주시 중앙탑면 중부내륙고속도로 230-1,043-857-4884,
A0032875,충북 충주시,(주)파리크라상 천등산(제천방향)주유소,E1,충북 충주시 산척면 평택제천고속도로 106,043-844-2988,
A0006887,충북 제천시,신월LPG충전소,GS칼텍스,충북 제천시 제천북로 547 (신월동),043-652-5180,
A0009234,충북 제천시,SK행복충전 신제천충전소,SK가스,충북 제천시 송학면 북부로 3276,043-645-7636,
A0009611,충북 제천시,코끼리주유소/충전소,E1,충북 제천시 송학면 북부로 3392,043-651-7149,
A0013291,충북 제천시,대동LPG충전소,E1,충북 제천시 용두대로 360 (신월동),043-644-2619,
A0013293,충북 제천시,제천가스충전소,S-OIL,충북 제천시 내토로 156 (천남동),043-646-0082,
A0013301,충북 제천시,서제천LPG충전소,SK에너지,충북 제천시 백운면 북부로 215,043-643-5158,
A0013311,충북 제천시,우리LPG충전소,GS칼텍스,충북 제천시 청풍호로 360 (산곡동),043-652-7755,
A0013355,충북 제천시,제천ic충전소,SK에너지,충북 제천시 제천북로 271 (왕암동),043-643-0909,
A0013383,충북 제천시,SK행복충전 신동가스충전소,SK가스,충북 제천시 내토로 59 (신동),043-645-7799,
A0013483,충북 제천시,SK행복충전 세운가스충전소,SK가스,충북 제천시 청전대로 260,043-645-8949,
A0013506,충북 제천시,대성석유(주)가스충전소,GS칼텍스,충북 제천시 단양로 3421,043-643-7713,
A0013525,충북 제천시,제천중앙LPG충전소,E1,충청북도 제천시  내토로 728,043-652-8836,
A0012634,충북 보은군,(주)보은현대주유소/충전소,HD현대오일뱅크,충북 보은군 보은읍 보청대로 1670,043-543-8844,
A0012683,충북 보은군,연안가스충전소,GS칼텍스,충북 보은군 보은읍 남부로 5039,043-542-2377,
A0012717,충북 보은군,(주)에스피씨삼립 속리산(청원)주유소/충전소,SK에너지,충북 보은군 마로면 적암길 56-18,043-544-6311,
A0012590,충북 옥천군,SK행복충전 한밭엘피지충전소,SK가스,충북 옥천군 군북면 옥천로 882,043-731-1065,
A0012668,충북 옥천군,옥천IC충전소,E1,충북 옥천군 옥천읍 동부로 95,043-731-7005,
A0012675,충북 옥천군,삼양가스충전소,HD현대오일뱅크,충북 옥천군 옥천읍 성왕로 1141,043-733-8429,
A0012713,충북 옥천군,보령물산(주)옥천(서울)주유소/충전소,E1,충북 옥천군 옥천읍 옥천동이로 242-34,043-733-9924,
A0012720,충북 옥천군,옥천(부산방향)주유소/충전소,S-OIL,충북 옥천군 옥천읍 서대구일로 265-19,043-731-8524,
A0012614,충북 영동군,대영가스충전소,SK에너지,충북 영동군 영동읍 회동로 50,043-743-6639,
A0012671,충북 영동군,우성LPG충전소,E1,충북 영동군 영동읍 난계로 841,043-745-7877,
A0012690,충북 영동군,유원산업주식회사,S-OIL,충북 영동군 영동읍 대학로 143,043-743-2895,
A0012711,충북 영동군,보령물산(주)황간(부산)주유소/충전소,GS칼텍스,충북 영동군 황간면 회포길 102,043-742-5853,
A0012153,충북 진천군,파주산업가스,SK에너지,충북 진천군 덕산면 덕금로 703,043-536-5552,
A0012203,충북 진천군,금정LPG충전소,S-OIL,충북 진천군 문백면 생거진천로 739,043-532-5145,
A0012213,충북 진천군,진천가스 충전소,SK에너지,충북 진천군 진천읍 진광로 82-4,043-532-0602,
A0012480,충북 진천군,진천IC충전소,GS칼텍스,충북 진천군 진천읍 덕금로 106-26,043-537-1231,
A0012493,충북 진천군,(주)조이에너지 광혜원충전소,GS칼텍스,충청북도 진천군 광혜원면 진광로 1436,043-535-8234,
A0033603,충북 진천군,㈜신진에너지 남북LPG충전소,HD현대오일뱅크,충북 진천군 이월면 생거진천로 2001,043-000-0000,
A0012185,충북 괴산군,괴산가스충전소,HD현대오일뱅크,충청북도 괴산군 괴산읍 읍내로 171,043-832-3718,
A0013236,충북 괴산군,(주)괴산(상)주유소/충전소,SK에너지,충북 괴산군 장연면 중부내륙고속도로 204,043-832-6598,
A0013260,충북 괴산군,괴산(마산)주유소/충전소,HD현대오일뱅크,충북 괴산군 장연면 중부내륙고속도로 205,043-832-7970,
A0009245,충북 음성군,서울 LPG,E1,충북 음성군 대소면 대금로 789,043-882-4008,
A0012812,충북 음성군,음성IC충전소,HD현대오일뱅크,충북 음성군 대소면 대금로 195,043-883-8080,
A0012934,충북 음성군,오생LPG충전소,GS칼텍스,충북 음성군 생극면 중원대로 7,043-882-3772,
A0013003,충북 음성군,SK행복충전 한금령LPG충전소,SK가스,충북 음성군 원남면 충청대로 802,043-872-1009,
A0013148,충북 음성군,(주)대영에너지(음성),GS칼텍스,충북 음성군 음성읍 예술로 81,043-872-1231,
A0013159,충북 음성군,오선가스충전소,E1,충북 음성군 금왕읍 대금로 1193,043-877-1221,
A0013167,충북 음성군,삼한제1주유소/충전소,S-OIL,충북 음성군 생극면 중원대로 792,043-878-5149,
A0013169,충북 음성군,명품주유소,SK에너지,충북 음성군 감곡면 북부로778-8,043-881-4555,
A0013178,충북 음성군,일신에너지(주),E1,충북 음성군 음성읍 충청대로 1641,043-873-1477,
A0013193,충북 음성군,주식회사 DY에너지,GS칼텍스,충북 음성군 금왕읍 금일로 208,043-872-1231,
